date,hexsha,author,insertions,deletions,lines,files,files_json
2020-08-12 16:34:28,c3d6e8a46a8fc5de622e8df9dbd25edd03e00c5b,Bram Moolenaar,20,1,21,4,
2020-08-12 16:01:53,db199216e81865350a8d56a603bb86cab672bfad,Bram Moolenaar,41,3,44,5,
2020-08-12 15:35:58,17a836cbee6b8d8ff555f8e307f48a779908db41,Bram Moolenaar,17,4,21,4,
2020-08-12 14:38:10,ed677f5587af366f185f8922b7dde4a98c884328,Bram Moolenaar,29,4,33,3,
2020-08-12 13:48:55,7c5ad34878a338f1db57337b5ca9f68c0c39424e,Bram Moolenaar,34,15,49,3,
2020-08-12 13:21:22,a177344dc0c337e5b272c1c59d13964a8318bcfa,Bram Moolenaar,45,4,49,5,
2020-08-12 12:21:11,575f24b3f3d8cd8bfc2da402c2938c0c7ace7877,Bram Moolenaar,16,1,17,3,
2020-08-11 21:08:48,040f975fc1de14ada5e0a7324bb5e51e461be2dd,Bram Moolenaar,38,13,51,5,
2020-08-11 20:30:42,035d6e91bd83574cab5a913c5c3a924d9011696b,Bram Moolenaar,13,2,15,3,
2020-08-11 19:58:20,097148e849136b49052b1b5123c714fb1d74db9b,Bram Moolenaar,48,7264,7312,26,
2020-08-11 18:51:08,4301a729eabafee388aaf8465cf780d3f84cec95,Bram Moolenaar,11,7,18,2,
2020-08-11 18:42:19,f7c4d83609acdfe0e4d0fec9413697ac97c0c3f9,Bram Moolenaar,561,1682,2243,17,
2020-08-10 21:09:37,59eccb92e3c68f65525e08d2113213ff7d7ed00a,Bram Moolenaar,35,16,51,3,
2020-08-10 20:40:56,8294d49937b99067522fda8a9399bb9533e3c44e,Bram Moolenaar,14,2,16,3,
2020-08-10 20:15:30,efb6482949580ab89e6d7c5e1cb8d744ddd6ef80,Bram Moolenaar,2025,2513,4538,4,
2020-08-10 19:57:54,3e06a1e2a8c0854c881574f33363e00264db1f1d,Bram Moolenaar,49,28,77,4,
2020-08-10 19:19:23,6f8f7337c1211692d508239eb4cbc8a6f67de497,Bram Moolenaar,44,0,44,4,
2020-08-10 18:39:17,bf61fdd00808bfa7cc61a82c719fc220bba50ba3,Bram Moolenaar,45,18,63,5,
2020-08-10 17:21:15,94f4ffa7704921a3634e56b878e6dc362bc3d508,Bram Moolenaar,49,6,55,5,
2020-08-09 20:17:55,6e4cfffe809a894ea831fc8011527714481d2857,Bram Moolenaar,33,1,34,3,
2020-08-09 19:45:52,a9a47d157ab1946d1e286c9695bc68d71305af68,Bram Moolenaar,17,2,19,4,
2020-08-09 18:05:41,7f7a8888699bca6df0a45a16db5f0e313383b5f1,Bram Moolenaar,30,2,32,3,
2020-08-09 17:32:39,1e91eafc2e19b84ea44347ea929d2791d2fdd5e3,Bram Moolenaar,9,1,10,3,
2020-08-09 17:02:50,64d662d5fc2ff8af4dbf399ff02aa9d711cc9312,Bram Moolenaar,107,2,109,5,
2020-08-09 15:22:04,127542bcebeb6480493b09d75a3be1d98a5f7797,Bram Moolenaar,91,17,108,6,
2020-08-09 14:37:48,a1b9b0cc011ef15869ac25cb93e1b4baa0cb7f38,Bram Moolenaar,76,6,82,5,
2020-08-09 13:25:14,a7cc9e697b9140da66a09f71cdf839d08e32f5fb,Bram Moolenaar,956,901,1857,10,
2020-08-09 12:43:58,b3ca98240761d8f320c5a49e077d1aac6496bb21,Bram Moolenaar,15,6,21,2,
